seed,region,name,mascot,play_in_game
1,South,Kansas,Jayhawks,
2,South,Villanova,Wildcats,
3,South,Miami,Hurricanes,
4,South,California,Golden Bears,
5,South,Maryland,Terrapins,
6,South,Arizona,Wildcats,
7,South,Iowa,Hawkeyes,
8,South,Colorado,Buffaloes,
9,South,Connecticut,Huskies,
10,South,Temple,Owls,
11,South,Vanderbilt/Wichita St.,Commodores/Shockers,TRUE
12,South,South Dakota State,Jackrabbits,
13,South,Hawaii,Warriors,
14,South,Buffalo,Bulls,
15,South,UNC Asheville,Bulldogs,
16,South,Austin Peay,Governors,
1,West,Oregon,Ducks,
2,West,Oklahoma,Sooners,
3,West,Texas A&M,Aggies,
4,West,Duke,Blue Devils,
5,West,Baylor,Bears,
6,West,Texas,Longhorns,
7,West,Oregon State,Beavers,
8,West,St. Joseph's,Hawks,
9,West,Cincinnati,Bearcats,
10,West,Virginia Commonwealth,Rams,
11,West,Northern Iowa,Panthers,
12,West,Yale,Bulldogs,
13,West,UNC Wilmington,Seahawks,
14,West,Green Bay,Phoenix,
15,West,Cal State Bakersfield,Roadrunners,
16,West,Holy Cross/Southern,Crusaders/Jaguards,TRUE
1,East,North Carolina,Tarheels,
2,East,Xavier,Musketeers,
3,East,West Virginia,Mountaineers,
4,East,Kentucky,Wildcats,
5,East,Indiana,Hoosiers,
6,East,Notre Dame,Fighting Irish,
7,East,Wisconsin,Badgers,
8,East,USC,Trojans,
9,East,Providence,Friars,
10,East,Pittsburgh,Panthers,
11,East,Michigan/Tulsa,Wolverines/Golden Hurricane,TRUE
12,East,Chattanooga,Mocs,
13,East,Stony Brook,Seawolves,
14,East,Stephen F. Austin,Lumberjacks,
15,East,Weber State,Wildcats,
16,East,Florida Gulf Coast/Fairleigh Dickinson,Eagles/Knights,TRUE
1,Midwest,Virginia,Cavaliers,
2,Midwest,Michigan State,Spartans,
3,Midwest,Utah,Utes,
4,Midwest,Iowa State,Cyclones,
5,Midwest,Purdue,Boilermakers,
6,Midwest,Seton Hall,Pirates,
7,Midwest,Dayton,Flyers,
8,Midwest,Texas Tech,Red Raiders,
9,Midwest,Butler,Bulldogs,
10,Midwest,Syracuse,Orange,
11,Midwest,Gonzaga,Bulldogs,
12,Midwest,Arkansas - Little Rock,Trojans,
13,Midwest,Iona,Gaels,
14,Midwest,Fresno State,Bulldogs,
15,Midwest,Middle Tennessee,Blue Raiders,
16,Midwest,Hampton,Pirates,
