round,pick,owner,team,seed,region
1,1,Eshoff,Gonzaga,1,West
1,2,Casey,Illinois,1,Midwest
1,3,Tesconi,Baylor,1,South
1,4,Strong,Michigan,1,East
1,5,Eli,Houston,2,Midwest
1,6,Matt,Alabama,2,East
1,7,Blair,Ohio State,2,South
1,8,Menezes,Iowa,2,West
2,9,Menezes,Texas,3,East
2,10,Blair,West Virginia,3,Midwest
2,11,Matt,Arkansas,3,South
2,12,Eli,Florida State,4,East
2,13,Strong,Oklahoma State,4,Midwest
2,14,Tesconi,Kansas,3,West
2,15,Casey,Virginia,4,West
2,16,Eshoff,San Diego State,6,Midwest
3,17,Eshoff,North Carolina,8,South
3,18,Casey,Colorado,5,East
3,19,Tesconi,Tennessee,5,Midwest
3,20,Strong,Wisconsin,9,South
3,21,Eli,Purdue,4,South
3,22,Matt,Creighton,5,West
3,23,Blair,USC,6,West
3,24,Menezes,Texas Tech,6,South
4,25,Menezes,Clemson,7,Midwest
4,26,Blair,BYU,6,East
4,27,Matt,Loyola-Chicago,8,Midwest
4,28,Eli,Oregon,7,West
4,29,Strong,UC Stnta Barbara,12,West
4,30,Tesconi,suck  it trebeck. michigan state,11,East
4,31,Casey,Villanova,5,South
4,32,Eshoff,UConn,7,East
5,33,Eshoff,LSU,8,East
5,34,Casey,Maryland,10,East
5,35,Tesconi,Georgetown,12,East
5,36,Strong,Florida,7,South
5,37,Eli,Winthrop,12,South
5,38,Matt,Oklahoma,8,West
5,39,Blair,Oregon State,12,Midwest
5,40,Menezes,Syracuse,11,Midwest
6,41,Menezes,St. Bonaventure,9,East
6,42,Blair,Georgia Tech,9,Midwest
6,43,Matt,Missouri,9,West
6,44,Eli,Wichita St/Drake,11,West
6,45,Strong,Utah State,11,South
6,46,Tesconi,Virginia Tech,10,South
6,47,Casey,Rutgers,10,Midwest
6,48,Eshoff,VCU,10,West
7,49,Eshoff,Colgate,14,South
7,50,Casey,North Texas,13,South
7,51,Tesconi,Ohio,13,West
7,52,Strong,UNC Greensboro,13,East
7,53,Eli,Morehead State,14,Midwest
7,54,Matt,Oral Roberts,15,South
7,55,Blair,Abilene Christian,14,East
7,56,Menezes,Liberty,13,Midwest
8,57,Menezes,E Washington,14,West
8,58,Blair,Grand Canyon,15,West
8,59,Matt,Cleveland State,15,Midwest
8,60,Eli,Iona Pitinos,15,East
8,61,Strong,Drexel,16,Midwest
8,62,Tesconi,Hartford,16,South
8,63,Casey,Mt. St. Mary's/Tx. So.,16,East
8,64,Eshoff,Norfolk St/App St,16,West
