seed,r64,r32,s16,e8,f4,ncg
01,10.071428571428571,11.428571428571429,13.071428571428571,15.928571428571429,17.57142857142857,18.42857142857143
02,10.571428571428571,13.642857142857142,15.428571428571429,17.928571428571427,19.07142857142857,19.642857142857142
03,11.5,14.714285714285715,17.42857142857143,18.785714285714285,19.214285714285715,19.714285714285715
04,12.071428571428573,15.285714285714285,18.5,19.07142857142857,19.785714285714285,19.92857142857143
05,13.571428571428571,16.642857142857146,19.357142857142858,19.5,19.785714285714285,23
06,13.714285714285715,17,19,19.785714285714285,19.857142857142858,19.92857142857143
07,13.928571428571429,18.07142857142857,19.285714285714285,19.785714285714285,19.92857142857143,19.92857142857143
08,15.142857142857142,19.07142857142857,19.42857142857143,19.642857142857142,19.785714285714285,19.92857142857143
09,14.857142857142858,19.5,19.714285714285715,19.92857142857143,23,23
10,16.071428571428573,18.357142857142858,19.42857142857143,19.92857142857143,23,23
11,16.285714285714285,18.42857142857143,19.42857142857143,19.714285714285715,23,23
12,16.428571428571427,18.5,19.92857142857143,23,23,23
13,17.928571428571427,19.57142857142857,23,23,23,23
14,18.5,19.857142857142858,23,23,23,23
15,19.42857142857143,19.92857142857143,23,23,23,23
16,19.92857142857143,23,23,23,23,23
