seed,region,name,mascot,slug,play_in_game
1,West,Gonzaga,Bulldogs,GONZAG,
2,West,Duke,Blue Devils,DUKE,
3,West,Texas Tech,Red Raiders,TXTECH,
4,West,Arkansas,Razorbacks,ARK,
5,West,UConn,Huskies,UCONN,
6,West,Alabama,Crimson Tide,BAMA,
7,West,Michigan State,Spartans,MICHST,
8,West,Boise State,Broncos,BOISE,
9,West,Memphis,Tigers,MEMP,
10,West,Davidson,Wildcats,DAVID,
11,West,Rutgers/Notre Dame,Scarlet Knights/Fighting Irish,RUT/ND,TRUE
12,West,New Mexico State,Aggies,NMEXST,
13,West,Vermont,Catamounts,UVM,
14,West,Montana State,Bobcats,MONST,
15,West,Cal State Fullerton,Titans,CSFULL,
16,West,Georgia State,Panthers,GAST,
1,East,Baylor,Bears,BAYLOR,
2,East,Kentucky,Wildcats,UK,
3,East,Purdue,Boilermakers,PURDUE,
4,East,UCLA,Bruins,UCLA,
5,East,Saint Mary's,Gaels,MARYCA,
6,East,Texas,Longhorns,TEXAS,
7,East,Murray State,Racers,MURYST,
8,East,North Carolina,Tar Heels,UNC,
9,East,Marquette,Golden Eagles,MARQET,
10,East,San Francisco,Dons,SANFRAN,
11,East,Virginia Tech,Hokies,VATECH,
12,East,Wyoming/Indiana,Cowboys/Hoosiers,WYO/IND,TRUE
13,East,Akron,Zips,AKRON,
14,East,Yale,Bulldogs,YALE,
15,East,Saint Peter's,Peacocks,STPETE,
16,East,Norfolk State,Spartans,NORFLK,
1,South,Arizona,Wildcats,ARIZ,
2,South,Villanova,Wildcats,NOVA,
3,South,Tennessee,Volunteers,TENN,
4,South,Illinois,Fighting Illini,ILL,
5,South,Houston,Cougars,HOU,
6,South,Colorado State,Rams,COLOST,
7,South,Ohio State,Buckeyes,OHIOST,
8,South,Seton Hall,Pirates,SETON,
9,South,TCU,Horned Frogs,TCU,
10,South,Loyola Chicago,Ramblers,LOYCHI,
11,South,Michigan,Wolverines,MICH,
12,South,UAB,Blazers,UAB,
13,South,Chattanooga,Mocs,CHATT,
14,South,Longwood,Lancers,LONGWD,
15,South,Delaware,Blue Hens,DEL,
16,South,Wright State/Bryant,Raiders/Bulldogs,WRIGHT/BRYANT,TRUE
1,Midwest,Kansas,Jayhawks,KANSAS,
2,Midwest,Auburn,Tigers,AUBURN,
3,Midwest,Wisconsin,Badgers,WISC,
4,Midwest,Providence,Friars,PROV,
5,Midwest,Iowa,Hawkeyes,IOWA,
6,Midwest,LSU,Tigers,LSU,
7,Midwest,USC,Trojans,USC,
8,Midwest,San Diego State,Aztecs,SDGST,
9,Midwest,Creighton,Bluejays,CREIGH,
10,Midwest,Miami,Hurricanes,MIAMI,
11,Midwest,Iowa State,Cyclones,IOWAST,
12,Midwest,Richmond,Spiders,RICH,
13,Midwest,South Dakota State,Jackrabbits,SDAKST,
14,Midwest,Colgate,Raiders,COLG,
15,Midwest,Jacksonville State,Gamecocks,JAXST,
16,Midwest,Texas Southern/Texas A&M-Corpus Christi,Tigers/Islanders,TEXSO/TXAMCC,TRUE
