seed,r64,r32,s16,e8,f4,nc,total
1,10.00,11.36,13.03,15.91,17.58,18.48,86.36
2,10.61,13.71,15.38,17.88,19.02,19.62,96.21
3,11.59,14.85,17.58,18.86,19.32,19.70,101.89
4,11.97,15.23,18.41,19.02,19.77,19.92,104.32
5,13.56,16.74,19.39,19.55,19.77,23.00,112.02
6,13.71,16.82,18.94,19.77,19.85,19.92,109.02
7,13.86,18.11,19.24,19.77,19.92,19.92,110.83
8,14.92,19.02,19.39,19.62,19.77,19.92,112.65
9,15.08,19.62,19.85,19.92,23.00,23.00,120.47
10,16.14,18.26,19.39,19.92,23.00,23.00,119.71
11,16.29,18.48,19.47,19.77,23.00,23.00,120.02
12,16.44,18.48,19.92,23.00,23.00,23.00,123.85
13,18.03,19.55,23.00,23.00,23.00,23.00,129.58
14,18.41,19.85,23.00,23.00,23.00,23.00,130.26
15,19.39,19.92,23.00,23.00,23.00,23.00,131.32
16,23.00,23.00,23.00,23.00,23.00,23.00,138.00
