seed,r64,r32,s16,e8,f4,ncg
1,10.07,11.47,13.09,15.88,17.57,18.46
2,10.59,13.75,15.44,17.94,19.04,19.63
3,11.54,14.85,17.50,18.82,19.26,19.71
4,12.06,15.29,18.46,19.04,19.78,19.93
5,13.46,16.62,19.41,19.56,19.78,23.00
6,13.75,16.91,18.97,19.78,19.85,19.93
7,13.82,18.01,19.26,19.78,19.93,19.93
8,15.00,19.04,19.41,19.63,19.78,19.93
9,15.00,19.49,19.71,19.93,23.00,23.00
10,16.18,18.31,19.41,19.93,23.00,23.00
11,16.25,18.38,19.41,19.71,23.00,23.00
12,16.54,18.53,19.93,23.00,23.00,23.00
13,17.94,19.56,23.00,23.00,23.00,23.00
14,18.46,19.85,23.00,23.00,23.00,23.00
15,19.41,19.93,23.00,23.00,23.00,23.00
16,19.93,23.00,23.00,23.00,23.00,23.00
